kP,kI,kD,,,,
1.00E-05,1.00E-05,0.0001,,,,
Target,Altitude,Time,P,I,D,Thrott
1000,1433.99,43.98,-430.841,-9452.64,-9.81861,0.216006
1000,1436.48,44.08,-434.615,-9557.17,-9.8821,0.214803
1000,1439.58,44.18,-437.725,-9647.47,-9.93025,0.213751
1000,1442.64,44.28,-440.192,-9723.83,-9.96359,0.212847
1000,1445.67,44.38,-443.246,-9813.46,-10.0101,0.211804
1000,1448.66,44.48,-446.268,-9902.68,-10.0556,0.210766
1000,1451.63,44.58,-449.258,-9991.49,-10.1002,0.209733
1000,1455.14,44.68,-452.215,-10079.9,-10.1439,0.208706
1000,1457.46,44.78,-455.14,-10167.8,-10.1867,0.207684
1000,1460.89,44.88,-458.032,-10255.3,-10.2285,0.206667
1000,1463.15,44.98,-460.891,-10342.4,-10.2694,0.205657
1000,1465.95,45.08,-463.717,-10429,-10.3094,0.204652
1000,1468.72,45.18,-466.508,-10515.1,-10.3485,0.203652
1000,1471.45,45.28,-469.266,-10600.7,-10.3866,0.202659
1000,1474.14,45.38,-471.989,-10685.8,-10.4238,0.201672
1000,1476.8,45.48,-474.677,-10770.4,-10.4601,0.200692
1000,1479.43,45.58,-477.331,-10854.5,-10.4954,0.199717
1000,1482.53,45.68,-479.95,-10938.1,-10.5298,0.198749
1000,1484.57,45.78,-482.533,-11021.1,-10.5633,0.197788
1000,1487.59,45.88,-485.081,-11103.5,-10.5959,0.196833
1000,1489.58,45.98,-487.592,-11185.4,-10.6276,0.195885
1000,1492.02,46.08,-490.068,-11266.7,-10.6583,0.194944
1000,1494.43,46.18,-492.507,-11347.4,-10.6881,0.19401
1000,1496.81,46.28,-494.91,-11427.5,-10.717,0.193083
1000,1499.14,46.38,-497.276,-11507,-10.7449,0.192164
1000,1501.44,46.48,-499.604,-11585.8,-10.772,0.191251
1000,1504.15,46.58,-501.895,-11664,-10.7981,0.190347
1000,1505.92,46.68,-504.149,-11741.6,-10.8233,0.189449
1000,1508.11,46.78,-506.364,-11818.5,-10.8476,0.18856
1000,1510.68,46.88,-508.542,-11894.8,-10.8709,0.187678
1000,1512.36,46.98,-510.681,-11970.4,-10.8934,0.186804
1000,1514.43,47.08,-512.782,-12045.2,-10.9149,0.185939
1000,1516.46,47.18,-514.843,-12119.4,-10.9355,0.185081
1000,1518.46,47.28,-516.866,-12192.9,-10.9552,0.184232
1000,1520.41,47.38,-518.85,-12265.6,-10.974,0.183391
1000,1522.32,47.48,-520.793,-12337.6,-10.9918,0.182558
1000,1524.56,47.58,-522.697,-12408.8,-11.0088,0.181735
1000,1526.02,47.68,-524.562,-12479.3,-11.0248,0.180919
1000,1527.82,47.78,-526.386,-12549,-11.04,0.180113
1000,1529.57,47.88,-528.169,-12618,-11.0542,0.179316
1000,1531.28,47.98,-530.256,-12694.3,-11.0747,0.178441
1000,1532.95,48.08,-531.614,-12753.4,-11.0799,0.177748
1000,1534.57,48.18,-533.275,-12819.9,-11.0914,0.176978
1000,1536.16,48.28,-534.895,-12885.6,-11.102,0.176218
1000,1537.71,48.38,-536.473,-12950.5,-11.1117,0.175467
1000,1539.21,48.48,-538.01,-13014.5,-11.1205,0.174726
1000,1540.67,48.58,-539.504,-13077.6,-11.1284,0.173994
1000,1542.09,48.68,-540.957,-13139.8,-11.1354,0.173272
1000,1543.73,48.78,-542.367,-13201.2,-11.1415,0.17256
1000,1544.8,48.88,-543.734,-13261.7,-11.1467,0.171858
1000,1546.34,48.98,-545.059,-13321.2,-11.151,0.171167
1000,1547.34,49.08,-546.341,-13379.9,-11.1544,0.170485
1000,1548.78,49.18,-547.58,-13437.6,-11.1569,0.169814
1000,1549.7,49.28,-548.775,-13494.4,-11.1585,0.169154
1000,1550.82,49.38,-549.928,-13550.2,-11.1592,0.168504
1000,1551.89,49.48,-551.036,-13605.1,-11.1591,0.167865
1000,1552.92,49.58,-552.101,-13659,-11.1581,0.167236
1000,1553.91,49.68,-553.122,-13711.9,-11.1561,0.166619
1000,1555.03,49.78,-554.098,-13763.8,-11.1533,0.166012
1000,1555.92,49.88,-555.03,-13814.7,-11.1497,0.165417
1000,1556.6,49.98,-555.918,-13864.6,-11.1451,0.164833
1000,1557.4,50.08,-556.761,-13913.5,-11.1397,0.16426
1000,1558.31,50.18,-557.559,-13961.3,-11.1334,0.163699
1000,1558.88,50.28,-558.312,-14008.1,-11.1262,0.163149
1000,1559.55,50.38,-559.02,-14053.8,-11.1181,0.162611
1000,1560.18,50.48,-559.682,-14098.4,-11.1092,0.162085
1000,1560.76,50.58,-560.3,-14142,-11.0994,0.16157
1000,1561.4,50.68,-560.871,-14184.4,-11.0888,0.161068
1000,1561.78,50.78,-561.396,-14225.8,-11.0773,0.160578
1000,1562.23,50.88,-561.876,-14266,-11.0649,0.1601
1000,1562.62,50.98,-562.31,-14305.2,-11.0517,0.159634
1000,1563.04,51.08,-562.697,-14343.1,-11.0376,0.15918
1000,1563.28,51.18,-563.038,-14380,-11.0227,0.158739
1000,1563.53,51.28,-563.333,-14415.7,-11.0069,0.158311
1000,1563.75,51.38,-563.581,-14450.2,-10.9903,0.157895
1000,1563.91,51.48,-563.782,-14483.6,-10.9728,0.157492
1000,1564.04,51.58,-563.936,-14515.7,-10.9545,0.157102
1000,1564.1,51.68,-564.044,-14546.7,-10.9353,0.156724
1000,1564.12,51.78,-564.105,-14576.5,-10.9153,0.15636
1000,1564.08,51.88,-564.118,-14605,-10.8945,0.156009
1000,1564.02,51.98,-564.084,-14632.3,-10.8729,0.155671
1000,1563.9,52.08,-564.002,-14658.4,-10.8504,0.155347
1000,1563.74,52.18,-563.873,-14683.3,-10.8271,0.155036
1000,1563.52,52.28,-563.697,-14706.9,-10.8029,0.154739
1000,1563.26,52.38,-563.473,-14729.2,-10.778,0.154455
1000,1562.95,52.48,-563.201,-14750.2,-10.7522,0.154185
1000,1562.51,52.58,-562.881,-14770,-10.7256,0.153929
1000,1562.18,52.68,-562.513,-14788.5,-10.6982,0.153686
1000,1561.73,52.78,-562.098,-14805.6,-10.67,0.153458
1000,1561.12,52.88,-561.634,-14821.5,-10.641,0.153244
1000,1560.68,52.98,-561.122,-14836.1,-10.6112,0.153043
1000,1559.95,53.08,-560.562,-14849.3,-10.5806,0.152857
1000,1559.43,53.18,-559.953,-14861.2,-10.5492,0.152686
1000,1558.74,53.28,-559.297,-14871.7,-10.517,0.152528
1000,1557.99,53.38,-558.592,-14880.9,-10.4841,0.152385
1000,1557.2,53.48,-557.839,-14888.7,-10.4503,0.152257
1000,1556.36,53.58,-557.037,-14895.2,-10.4158,0.152143
1000,1555.29,53.68,-556.187,-14900.3,-10.3805,0.152044
1000,1554.53,53.78,-555.289,-14903.9,-10.3444,0.15196
1000,1553.55,53.88,-554.342,-14906.2,-10.3076,0.15189
1000,1552.52,53.98,-553.346,-14907.1,-10.27,0.151836
1000,1551.43,54.08,-552.303,-14906.6,-10.2316,0.151796
1000,1550.3,54.18,-550.986,-14898.7,-10.1884,0.151835
1000,1549.12,54.28,-550.07,-14901.4,-10.1526,0.151762
1000,1547.89,54.38,-548.88,-14896.6,-10.112,0.151767
1000,1546.62,54.48,-547.643,-14890.4,-10.0707,0.151788
1000,1545.29,54.58,-546.357,-14882.8,-10.0286,0.151824
1000,1543.92,54.68,-545.023,-14873.7,-9.98576,0.151876
1000,1542.5,54.78,-543.64,-14863.1,-9.94222,0.151942
1000,1541.03,54.88,-542.21,-14851.1,-9.89795,0.152024
1000,1539.51,54.98,-540.73,-14837.6,-9.85296,0.152122
1000,1537.95,55.08,-539.203,-14822.7,-9.80726,0.152235
1000,1536.33,55.18,-537.628,-14806.3,-9.76085,0.152364
1000,1534.67,55.28,-536.004,-14788.4,-9.71374,0.152509
1000,1532.61,55.38,-534.333,-14769,-9.66593,0.152669
1000,1530.85,55.48,-532.613,-14748.1,-9.61743,0.152844
1000,1529.4,55.58,-530.846,-14725.7,-9.56825,0.153036
1000,1527.54,55.68,-529.031,-14701.8,-9.51837,0.153244
1000,1525.64,55.78,-527.169,-14676.4,-9.46783,0.153467
1000,1523.7,55.88,-525.258,-14649.5,-9.41661,0.153706
1000,1521.7,55.98,-523.3,-14621,-9.36472,0.153961
1000,1519.66,56.08,-521.295,-14591,-9.31217,0.154232
1000,1517.14,56.18,-519.242,-14559.6,-9.25896,0.154519
1000,1515.43,56.28,-517.142,-14526.5,-9.2051,0.154823
1000,1513.24,56.38,-514.996,-14492,-9.1506,0.155142
1000,1511.01,56.48,-512.802,-14455.9,-9.09545,0.155477
1000,1508.73,56.58,-510.561,-14418.2,-9.03967,0.155829
1000,1506.41,56.68,-508.273,-14379,-8.98326,0.156196
1000,1503.56,56.78,-505.939,-14338.3,-8.92623,0.15658
1000,1501.62,56.88,-503.558,-14296,-8.86858,0.15698
1000,1499.16,56.98,-501.131,-14252.2,-8.81031,0.157396
1000,1496.65,57.08,-498.657,-14206.7,-8.75145,0.157829
1000,1493.57,57.18,-496.138,-14159.8,-8.69198,0.158277
1000,1491.49,57.28,-493.573,-14111.3,-8.63192,0.158742
1000,1488.31,57.38,-490.963,-14061.2,-8.57128,0.159223
1000,1486.15,57.48,-488.306,-14009.5,-8.51004,0.159721
1000,1483.41,57.58,-485.059,-13940.6,-8.43874,0.160398
1000,1480.63,57.68,-482.858,-13901.5,-8.38586,0.160765
1000,1477.8,57.78,-480.066,-13845.1,-8.32292,0.161311
1000,1474.93,57.88,-477.23,-13787.2,-8.25943,0.161873
1000,1471.42,57.98,-474.349,-13727.7,-8.19539,0.162452
1000,1469.05,58.08,-471.424,-13666.6,-8.1308,0.163047
1000,1465.44,58.18,-468.454,-13603.9,-8.06567,0.163659
1000,1463,58.28,-465.441,-13539.7,-8.00002,0.164286
1000,1459.91,58.38,-462.384,-13473.9,-7.93384,0.16493
1000,1456.77,58.48,-459.284,-13406.5,-7.86715,0.16559
1000,1453.59,58.58,-455.507,-13319,-7.7891,0.166459
1000,1450.37,58.68,-452.954,-13267,-7.73223,0.166959
1000,1447.11,58.78,-449.725,-13194.9,-7.66402,0.167668
1000,1443.81,58.88,-446.453,-13121.3,-7.59533,0.168393
1000,1440.46,58.98,-443.14,-13046,-7.52615,0.169134
1000,1437.07,59.08,-439.784,-12969.2,-7.4565,0.169891
1000,1433.64,59.18,-436.387,-12890.9,-7.38637,0.170664
1000,1430.17,59.28,-432.948,-12810.9,-7.31578,0.171453
1000,1425.95,59.38,-429.468,-12729.4,-7.24474,0.172258
1000,1423.1,59.48,-425.948,-12646.4,-7.17326,0.17308
1000,1419.51,59.58,-422.387,-12561.8,-7.10133,0.173917
1000,1415.88,59.68,-418.786,-12475.6,-7.02896,0.17477
1000,1411.46,59.78,-415.145,-12387.9,-6.95618,0.175639
1000,1408.49,59.88,-411.464,-12298.7,-6.88297,0.176523
1000,1404.74,59.98,-407.744,-12207.9,-6.80935,0.177424
1000,1400.95,60.08,-403.985,-12115.5,-6.73533,0.17834
1000,1397.12,60.18,-400.188,-12021.6,-6.66092,0.179272
1000,1393.26,60.28,-396.352,-11926.2,-6.58611,0.180219
1000,1389.35,60.38,-392.478,-11829.3,-6.51092,0.181182
1000,1385.41,60.46,-388.567,-11727,-6.4375,0.182199
1000,1381.43,60.58,-384.619,-11630.9,-6.35944,0.183154
1000,1377.42,60.68,-380.633,-11529.4,-6.28315,0.184164
1000,1373.37,60.78,-376.611,-11426.4,-6.20651,0.185188
1000,1369.28,60.88,-372.553,-11321.9,-6.12953,0.186228
1000,1365.16,60.98,-368.459,-11215.9,-6.05222,0.187283
1000,1361,61.08,-364.33,-11108.4,-5.97458,0.188353
1000,1356.81,61.18,-360.165,-10999.4,-5.89662,0.189438
1000,1351.73,61.28,-355.966,-10889,-5.81834,0.190538
1000,1348.32,61.38,-351.733,-10777.1,-5.73976,0.191652
1000,1344.03,61.48,-347.465,-10663.7,-5.66088,0.192782
1000,1339.7,61.58,-343.164,-10548.9,-5.58172,0.193926
1000,1335.34,61.68,-338.83,-10432.6,-5.50228,0.195085
1000,1330.95,61.78,-334.463,-10314.8,-5.42256,0.196259
1000,1326.52,61.88,-330.064,-10195.7,-5.34257,0.197446
1000,1322.07,61.98,-325.633,-10075.1,-5.26234,0.198649
1000,1317.58,62.08,-321.171,-9953.09,-5.18185,0.199865
1000,1313.06,62.18,-316.678,-9829.67,-5.10112,0.201095
1000,1308.51,62.28,-312.153,-9704.85,-5.02016,0.20234
1000,1303.93,62.38,-307.599,-9578.64,-4.93897,0.203598
1000,1299.33,62.48,-302.095,-9422.35,-4.84282,0.205168
1000,1294.69,62.58,-298.402,-9322.09,-4.77597,0.206157
1000,1290.03,62.68,-293.761,-9191.77,-4.69416,0.207456
1000,1285.33,62.78,-289.09,-9060.09,-4.61216,0.208769
1000,1280.61,62.88,-284.392,-8927.07,-4.52998,0.210096
1000,1275.87,62.98,-278.718,-8762.9,-4.43254,0.211744
1000,1271.09,63.08,-274.914,-8657.05,-4.36511,0.212788
1000,1266.29,63.18,-270.135,-8520.07,-4.28243,0.214154
1000,1261.47,63.28,-265.331,-8381.8,-4.1996,0.215532
1000,1255.64,63.38,-260.5,-8242.23,-4.11663,0.216924
1000,1251.74,63.48,-255.645,-8101.39,-4.03353,0.218327
1000,1246.84,63.58,-250.765,-7959.3,-3.95031,0.219744
1000,1240.93,63.68,-245.861,-7815.94,-3.86696,0.221173
1000,1236.98,63.78,-240.934,-7671.34,-3.78351,0.222614
1000,1232.01,63.88,-235.983,-7525.51,-3.69996,0.224067
1000,1226.02,63.98,-231.01,-7378.47,-3.61632,0.225532
1000,1222,64.08,-226.015,-7230.23,-3.53259,0.227009
1000,1216.97,64.18,-220.999,-7080.8,-3.4488,0.228497
1000,1211.92,64.28,-215.961,-6930.19,-3.36493,0.229997
1000,1206.84,64.38,-210.903,-6778.42,-3.281,0.231508
1000,1201.75,64.48,-205.825,-6625.49,-3.19703,0.233031
1000,1196.64,64.58,-200.727,-6471.44,-3.11301,0.234565
1000,1191.5,64.68,-195.61,-6316.26,-3.02896,0.236109
1000,1186.35,64.78,-190.475,-6159.97,-2.94489,0.237665
1000,1181.19,64.88,-185.323,-6002.61,-2.8608,0.23923
1000,1176,64.98,-180.153,-5844.16,-2.77671,0.240807
1000,1170.81,65.08,-174.966,-5684.65,-2.69262,0.242393
1000,1165.59,65.18,-169.763,-5524.1,-2.60853,0.243989
1000,1160.36,65.28,-164.545,-5362.51,-2.52447,0.245596
1000,1155.11,65.38,-159.311,-5199.91,-2.44042,0.247212
1000,1148.8,65.48,-153.011,-5001.94,-2.34034,0.249194
1000,1144.58,65.58,-148.8,-4871.73,-2.27246,0.250473
1000,1139.3,65.68,-143.525,-4706.18,-2.18855,0.252117
1000,1134,65.78,-138.237,-4539.69,-2.1047,0.25377
1000,1128.69,65.88,-131.874,-4337.35,-2.00478,0.255794
1000,1123.37,65.98,-127.624,-4203.93,-1.93722,0.257103
1000,1118.03,66.08,-122.301,-4034.7,-1.8536,0.258782
1000,1112.69,66.18,-116.967,-3864.58,-1.77008,0.26047
1000,1107.34,66.28,-111.623,-3693.61,-1.68666,0.262165
1000,1101.98,66.38,-106.27,-3521.78,-1.60335,0.263869
1000,1096.61,66.48,-100.908,-3349.14,-1.52016,0.26558
1000,1091.24,66.58,-95.5381,-3175.69,-1.4371,0.267298
1000,1085.85,66.68,-90.1606,-3001.45,-1.35417,0.269024
1000,1079.39,66.78,-84.7761,-2826.44,-1.27139,0.270757
1000,1075.07,66.88,-79.3851,-2650.67,-1.18876,0.272497
1000,1069.67,66.98,-73.9884,-2474.17,-1.10629,0.274244
1000,1064.26,67.08,-68.5864,-2296.96,-1.02398,0.275997
1000,1058.85,67.18,-63.1799,-2119.05,-0.941859,0.277756
1000,1053.44,67.28,-57.7694,-1940.47,-0.85992,0.279521
1000,1048.02,67.38,-52.3554,-1761.24,-0.778172,0.281293
1000,1042.6,67.48,-46.9387,-1581.36,-0.696626,0.28307
1000,1037.18,67.58,-41.5197,-1400.87,-0.615289,0.284852
1000,1031.76,67.68,-36.0991,-1219.79,-0.534169,0.28664
1000,1026.34,67.78,-30.6776,-1038.13,-0.453274,0.288432
1000,1020.92,67.88,-25.2556,-855.911,-0.372611,0.29023
1000,1014.41,67.98,-19.8338,-673.161,-0.29219,0.292031
1000,1010.08,68.08,-14.413,-489.896,-0.212018,0.293838
1000,1004.66,68.18,-8.9934,-306.135,-0.1321,0.295648
1000,999.244,68.28,-3.57598,-121.905,-0.052449,0.297462
1000,992.75,68.38,1.83877,62.7757,0.0269299,0.29928
1000,987.342,68.48,7.25029,247.887,0.106029,0.301102
1000,983.019,68.58,12.6579,433.405,0.18484,0.302927
1000,977.62,68.68,18.0609,619.308,0.263355,0.304754
1000,972.227,68.78,23.4587,805.572,0.341565,0.306584
1000,966.84,68.88,28.8509,992.183,0.419467,0.308417
1000,961.46,68.98,34.2366,1179.11,0.497047,0.310253
1000,956.087,69.08,39.6153,1366.33,0.574301,0.31209
1000,950.723,69.18,44.9863,1553.83,0.65122,0.313929
1000,945.367,69.28,50.3491,1741.58,0.727798,0.315769
1000,938.953,69.38,55.7029,1929.55,0.804025,0.317611
1000,934.685,69.48,61.0472,2117.73,0.879896,0.319454
1000,929.359,69.58,66.3814,2306.09,0.955403,0.321298
1000,924.045,69.68,71.7048,2494.61,1.03054,0.323142
1000,918.742,69.78,77.0168,2683.26,1.10529,0.324987
1000,913.452,69.88,82.3168,2872.03,1.17966,0.326832
1000,908.176,69.98,87.6041,3060.89,1.25364,0.328676
1000,902.913,70.08,92.8782,3249.81,1.32721,0.330521
1000,896.616,70.18,99.1885,3475.56,1.41536,0.332744
1000,892.431,70.28,103.384,3627.73,1.47312,0.334207
1000,887.213,70.38,108.614,3816.69,1.54544,0.336048
1000,882.012,70.48,114.869,4042.25,1.63213,0.338266
1000,876.828,70.58,119.026,4194.48,1.68879,0.339726
1000,871.661,70.68,124.207,4383.26,1.7598,0.341563
1000,866.513,70.78,129.37,4571.94,1.83036,0.343397
1000,861.383,70.88,134.515,4760.48,1.90046,0.345228
1000,856.273,70.98,139.64,4948.85,1.97009,0.347057
1000,851.183,71.08,144.746,5137.05,2.03926,0.348883
1000,846.114,71.18,149.832,5325.04,2.10794,0.350705
1000,841.066,71.28,154.897,5512.79,2.17613,0.352525
1000,835.038,71.38,159.941,5700.29,2.24384,0.35434
1000,831.037,71.48,164.962,5887.5,2.31104,0.356151
1000,826.057,71.58,169.961,6074.39,2.37774,0.357958
1000,821.101,71.68,174.936,6260.96,2.44392,0.35976
1000,816.169,71.78,179.888,6447.17,2.50959,0.361558
1000,811.262,71.88,184.814,6632.99,2.57473,0.36335
1000,806.381,71.98,189.716,6818.4,2.63935,0.365137
1000,801.526,72.08,194.592,7003.37,2.70342,0.366919
1000,796.698,72.18,199.442,7187.89,2.76695,0.368694
1000,791.897,72.28,205.226,7406.61,2.84325,0.370822
1000,787.124,72.38,209.06,7555.43,2.89236,0.372227
1000,782.38,72.48,214.777,7772.78,2.96735,0.374338
1000,777.665,72.58,218.565,7920.81,3.01553,0.375732
1000,772.98,72.68,223.274,8102.62,3.07625,0.377474
1000,768.326,72.78,227.953,8283.81,3.13639,0.379208
1000,763.703,72.88,232.601,8464.35,3.19595,0.380935
1000,759.111,72.98,237.218,8644.22,3.25491,0.382654
1000,754.552,73.08,241.803,8823.39,3.31328,0.384364
1000,750.026,73.18,246.356,9001.84,3.37104,0.386065
1000,745.533,73.28,250.875,9179.53,3.4282,0.387758
1000,741.074,73.38,255.362,9356.45,3.48474,0.389442
1000,736.65,73.48,259.814,9532.56,3.54066,0.391116
1000,732.261,73.58,264.231,9707.84,3.59596,0.39278
1000,727.908,73.68,268.613,9882.26,3.65062,0.394435
1000,722.732,73.78,272.959,10055.8,3.70465,0.396079
1000,719.311,73.88,277.268,10228.4,3.75804,0.397712
1000,715.069,73.98,281.541,10400.1,3.81078,0.399335
1000,710.864,74.08,285.775,10570.8,3.86287,0.400947
1000,706.699,74.18,289.972,10740.6,3.91431,0.402547
1000,702.572,74.28,294.13,10909.3,3.96508,0.404136
1000,697.673,74.38,298.248,11076.9,4.01519,0.405713
1000,694.44,74.48,302.327,11243.5,4.06462,0.407278
1000,689.638,74.58,306.365,11409,4.11338,0.40883
1000,686.47,74.68,310.362,11573.4,4.16146,0.410369
1000,682.548,74.78,314.318,11736.6,4.20886,0.411896
1000,678.669,74.88,318.231,11898.7,4.25556,0.413409
1000,674.833,74.98,322.102,12059.5,4.30157,0.414909
1000,671.04,75.08,325.929,12219.1,4.34689,0.416395
1000,667.292,75.18,329.713,12377.4,4.39149,0.417867
1000,663.588,75.28,333.453,12534.5,4.43539,0.419324
1000,659.203,75.38,337.148,12690.2,4.47858,0.420767
1000,656.316,75.48,340.797,12844.6,4.52105,0.422195
1000,652.75,75.58,344.401,12997.7,4.56281,0.423608
1000,649.23,75.68,347.958,13149.3,4.60384,0.425005
1000,645.758,75.78,351.468,13299.6,4.64414,0.426387
1000,642.333,75.88,354.931,13448.3,4.68371,0.427753
1000,638.287,75.98,358.346,13595.7,4.72254,0.429102
1000,635.63,76.08,361.713,13741.5,4.76063,0.430435
1000,632.352,76.18,365.03,13885.7,4.79798,0.431751
1000,629.124,76.28,368.298,14028.5,4.83457,0.43305
1000,625.946,76.38,371.516,14169.6,4.87042,0.434332
1000,622.819,76.48,374.683,14309.2,4.90552,0.435596
1000,619.744,76.58,377.8,14447.1,4.93985,0.436842
1000,616.719,76.68,380.865,14583.3,4.97343,0.43807
1000,613.748,76.78,383.879,14717.9,5.00625,0.43928
1000,610.829,76.88,386.84,14850.8,5.03829,0.440471
1000,607.963,76.98,389.749,14981.9,5.06957,0.441644
1000,605.15,77.08,392.604,15111.3,5.10008,0.442797
1000,602.392,77.18,395.406,15238.9,5.12981,0.443931
1000,599.688,77.28,398.153,15364.7,5.15876,0.445046
1000,597.039,77.38,400.846,15488.7,5.18693,0.44614
1000,594.446,77.48,403.484,15610.8,5.21432,0.447214
1000,591.908,77.58,406.066,15731,5.24092,0.448268
1000,589.427,77.68,408.593,15849.3,5.26673,0.449302
1000,587.002,77.78,411.063,15965.7,5.29175,0.450314
1000,584.634,77.88,413.476,16080.1,5.31597,0.451305
1000,581.869,77.98,415.832,16192.5,5.3394,0.452275
1000,580.072,78.08,418.131,16302.9,5.36203,0.453223
1000,577.878,78.18,420.372,16411.3,5.38386,0.45415
1000,575.742,78.28,422.554,16517.6,5.40489,0.455054
1000,573.666,78.38,424.678,16621.9,5.42511,0.455936
1000,571.649,78.48,426.742,16724,5.44453,0.456795
1000,569.308,78.58,428.747,16824,5.46314,0.457632
1000,567.796,78.68,430.692,16921.9,5.48093,0.458445
1000,565.96,78.78,432.576,17017.6,5.49792,0.459235
1000,564.185,78.88,434.4,17111,5.51409,0.460002
1000,562.135,78.98,436.163,17202.3,5.52945,0.460745
1000,560.819,79.08,437.865,17291.3,5.54399,0.461464
1000,559.229,79.18,439.504,17378,5.55772,0.462158
1000,557.701,79.28,441.082,17462.4,5.57062,0.462829
1000,556.236,79.38,442.597,17544.6,5.58271,0.463474
1000,554.834,79.48,444.05,17624.3,5.59397,0.464095
1000,553.495,79.58,445.439,17701.8,5.60442,0.46469
1000,552.22,79.68,446.765,17776.8,5.61404,0.465261
1000,551.008,79.78,448.028,17849.4,5.62284,0.465806
1000,549.861,79.88,449.226,17919.6,5.63081,0.466325
1000,548.779,79.98,450.36,17987.4,5.63796,0.466818
1000,547.761,80.08,451.43,18052.7,5.64429,0.467285
1000,546.808,80.18,452.435,18115.5,5.64979,0.467726
1000,545.921,80.28,453.375,18175.8,5.65446,0.46814
1000,544.942,80.38,454.249,18233.6,5.65831,0.468528
1000,544.343,80.48,455.058,18288.8,5.66133,0.468888
1000,543.653,80.58,455.8,18341.4,5.66352,0.469222
1000,543.03,80.68,456.477,18391.5,5.66489,0.469528
1000,542.473,80.78,457.087,18438.9,5.66543,0.469806
1000,541.893,80.88,457.631,18483.7,5.66515,0.470057
1000,541.56,80.98,458.107,18525.9,5.66404,0.47028
1000,541.204,81.08,458.517,18565.4,5.6621,0.470475
1000,540.866,81.18,458.859,18602.2,5.65934,0.470642
1000,540.695,81.28,459.134,18636.3,5.65576,0.470781
1000,540.519,81.4,459.375,18673.6,5.65037,0.470909
1000,540.448,81.5,459.5,18701.7,5.64497,0.470984
1000,540.445,81.6,459.558,18727,5.63875,0.471031
1000,540.51,81.7,459.547,18749.5,5.63171,0.471048
1000,540.644,81.8,459.468,18769.3,5.62385,0.471036
1000,540.847,81.9,459.321,18786.2,5.61517,0.470995
1000,541.118,82,459.104,18800.3,5.60567,0.470923
1000,541.535,82.1,458.819,18811.6,5.59535,0.470823
1000,541.868,82.2,458.465,18820,5.58422,0.470692
1000,542.347,82.3,458.041,18825.5,5.57228,0.470532
1000,542.895,82.4,457.549,18828.1,5.55953,0.470341
1000,543.512,82.5,456.987,18827.9,5.54596,0.470121
1000,544.344,82.6,456.356,18824.7,5.53159,0.46987
1000,544.954,82.7,455.656,18818.6,5.51642,0.469588
1000,545.779,82.8,454.886,18809.6,5.50044,0.469276
1000,546.674,82.9,454.047,18797.6,5.48367,0.468934
1000,547.638,83,453.139,18782.6,5.46609,0.46856
1000,548.671,83.1,451.957,18756.2,5.44527,0.468069
1000,549.773,83.2,451.114,18743.8,5.42857,0.467721
1000,550.945,83.3,449.998,18719.9,5.40863,0.467255
1000,552.443,83.4,448.812,18693,5.3879,0.466758
1000,553.497,83.5,447.557,18663.1,5.36639,0.46623
1000,554.876,83.6,446.233,18630.2,5.34411,0.465671
1000,556.324,83.7,444.84,18594.3,5.32105,0.465081
1000,557.842,83.8,443.378,18555.4,5.29722,0.464459
1000,559.754,83.9,441.846,18513.4,5.27263,0.463806
1000,561.422,84,440.246,18468.3,5.24728,0.463122
1000,562.806,84.1,438.578,18420.3,5.22117,0.462406
1000,564.598,84.2,436.841,18369.2,5.1943,0.461659
1000,566.458,84.3,435.035,18315,5.16669,0.460881
1000,568.386,84.4,433.162,18257.8,5.13833,0.460071
1000,570.79,84.5,431.22,18197.5,5.10924,0.459229
1000,572.446,84.6,429.21,18134.1,5.07941,0.458357
1000,574.578,84.7,427.133,18067.7,5.04885,0.457452
1000,576.776,84.8,424.988,17998.2,5.01757,0.456517
1000,579.042,84.9,422.776,17925.7,4.98557,0.455549
1000,581.848,85,420.497,17850.1,4.95285,0.454551
1000,583.772,85.1,418.152,17771.5,4.91943,0.453521
1000,586.237,85.2,415.74,17689.7,4.88531,0.45246
1000,589.282,85.3,413.262,17605,4.85049,0.451367
1000,591.364,85.4,410.718,17517.1,4.81498,0.450244
1000,594.026,85.5,408.109,17426.2,4.77879,0.449089
1000,596.752,85.6,405.434,17332.3,4.74192,0.447903
1000,599.543,85.7,402.695,17235.3,4.70438,0.446686
1000,602.399,85.8,399.322,17111,4.65953,0.445188
1000,605.318,85.9,397.023,17032.3,4.6273,0.444159
1000,608.3,86,394.091,16926.2,4.58779,0.44285
1000,611.346,86.1,391.096,16817.1,4.54762,0.441509
1000,614.454,86.2,388.038,16705,4.50683,0.440139
1000,617.624,86.3,384.917,16589.9,4.4654,0.438737
1000,620.856,86.4,381.734,16471.8,4.42334,0.437306
1000,624.149,86.5,378.49,16350.8,4.38067,0.435844
1000,628.182,86.6,375.185,16226.7,4.33739,0.434352
1000,630.918,86.7,371.818,16099.7,4.29351,0.432829
1000,634.393,86.8,368.391,15969.8,4.24904,0.431277
1000,637.927,86.9,364.905,15836.9,4.20397,0.429696
1000,641.52,87,361.359,15701,4.15833,0.428084
1000,645.172,87.1,357.754,15562.3,4.11211,0.426444
1000,648.881,87.2,354.091,15420.7,4.06534,0.424774
1000,653.408,87.3,350.37,15276.1,4.018,0.423075
