kP,kI,kD,,,,
1.00E-05,1.00E-05,0.0001,,,,
Target,Altitude,Time,P,I,D,Thrott
1000,170.088,10.08,830.883,4146.11,83.2548,0.439134
1000,171.718,10.18,829.262,4179.48,82.268,0.439141
1000,173.364,10.28,827.954,4214.28,81.3314,0.439169
1000,175.025,10.38,826.305,4247.21,80.3799,0.439174
1000,176.701,10.48,824.641,4279.89,79.4452,0.439177
1000,178.393,10.58,822.962,4312.32,78.5269,0.43918
1000,180.1,10.68,821.267,4344.5,77.6245,0.439181
1000,181.823,10.78,819.556,4376.43,76.7375,0.439181
1000,183.562,10.88,817.83,4408.11,75.8655,0.439179
1000,185.316,10.98,816.089,4439.52,75.0082,0.439177
1000,187.086,11.08,814.331,4470.68,74.165,0.439172
1000,188.872,11.18,812.558,4501.57,73.3356,0.439167
1000,191.036,11.28,810.769,4532.2,72.5196,0.439159
1000,192.491,11.38,808.964,4562.56,71.7167,0.43915
1000,194.325,11.48,807.143,4592.65,70.9265,0.439139
1000,196.175,11.58,805.307,4622.46,70.1487,0.439126
1000,198.04,11.68,803.454,4652,69.3829,0.439112
1000,199.922,11.78,801.584,4681.25,68.6288,0.439095
1000,201.821,11.88,799.699,4710.23,67.8862,0.439077
1000,203.735,11.98,797.798,4738.92,67.1547,0.439057
1000,205.666,12.08,795.88,4767.32,66.4341,0.439034
1000,207.613,12.18,793.557,4793.09,65.6918,0.438979
1000,209.577,12.28,791.996,4823.25,65.0243,0.438983
1000,211.557,12.38,790.029,4850.78,64.3346,0.438953
1000,213.553,12.48,788.045,4878,63.6547,0.438922
1000,215.566,12.58,786.046,4904.93,62.9844,0.438888
1000,217.595,12.68,784.029,4931.55,62.3235,0.438852
1000,220.053,12.78,781.997,4957.86,61.6717,0.438814
1000,222.119,12.88,779.947,4983.86,61.0287,0.438773
1000,223.784,12.98,777.881,5009.55,60.3945,0.438729
1000,225.88,13.08,775.798,5034.93,59.7687,0.438683
1000,227.994,13.18,773.698,5059.99,59.1512,0.438634
1000,230.552,13.28,771.582,5084.72,58.5419,0.438582
1000,232.27,13.38,769.448,5109.14,57.9404,0.438528
1000,234.434,13.48,767.298,5133.22,57.3466,0.438471
1000,236.615,13.58,765.131,5156.98,56.7604,0.438411
1000,239.255,13.68,762.947,5180.41,56.1816,0.438349
1000,241.028,13.78,760.745,5203.5,55.61,0.438283
1000,243.26,13.88,758.527,5226.25,55.0455,0.438214
1000,245.51,13.98,756.291,5248.66,54.4878,0.438143
1000,247.776,14.08,754.038,5270.73,53.9369,0.438068
1000,250.519,14.18,751.768,5292.45,53.3926,0.43799
1000,252.361,14.28,749.021,5310.56,52.8224,0.437869
1000,254.68,14.38,747.176,5334.84,52.3233,0.437826
1000,257.016,14.48,744.854,5355.5,51.7979,0.437738
1000,259.369,14.58,742.045,5372.41,51.2462,0.437606
1000,261.74,14.68,740.158,5395.75,50.7653,0.437554
1000,264.128,14.78,737.784,5415.33,50.2578,0.437457
1000,266.534,14.88,735.392,5434.55,49.7559,0.437357
1000,268.957,14.98,732.983,5453.39,49.2596,0.437253
1000,271.398,15.08,730.556,5471.87,48.7688,0.437145
1000,273.856,15.18,728.112,5489.97,48.2833,0.437035
1000,276.332,15.28,725.65,5507.69,47.8031,0.43692
1000,278.825,15.38,723.171,5525.03,47.3279,0.436803
1000,281.337,15.48,720.674,5541.98,46.8579,0.436681
1000,283.865,15.58,717.654,5554.64,46.3601,0.436509
1000,286.412,15.68,715.627,5574.73,45.9324,0.436427
1000,288.976,15.78,713.077,5590.52,45.4768,0.436295
1000,291.559,15.88,710.509,5605.91,45.0259,0.436159
1000,294.159,15.98,707.923,5620.91,44.5795,0.436019
1000,296.776,16.08,705.319,5635.5,44.1376,0.435875
1000,299.412,16.18,702.698,5649.69,43.7001,0.435728
1000,302.065,16.28,700.059,5663.48,43.2669,0.435576
1000,304.737,16.38,697.402,5676.85,42.8379,0.435421
1000,307.426,16.48,694.727,5689.81,42.4131,0.435261
1000,310.133,16.58,692.034,5702.36,41.9924,0.435098
1000,312.858,16.68,689.323,5714.49,41.5756,0.434931
1000,316.152,16.78,686.595,5726.2,41.1627,0.434759
1000,318.362,16.88,683.848,5737.48,40.7537,0.434584
1000,321.141,16.98,681.083,5748.34,40.3485,0.434404
1000,323.938,17.08,678.301,5758.77,39.947,0.434221
1000,327.318,17.18,675.5,5768.77,39.5492,0.434033
1000,329.586,17.28,672.682,5778.34,39.1549,0.433841
1000,332.437,17.38,669.845,5787.46,38.7642,0.433644
1000,335.306,17.48,666.991,5796.15,38.3769,0.433444
1000,338.772,17.58,664.118,5804.39,37.993,0.433239
1000,341.098,17.68,661.228,5812.19,37.6125,0.433029
1000,344.021,17.78,658.319,5819.54,37.2352,0.432816
1000,346.962,17.88,655.393,5826.44,36.8612,0.432598
1000,349.921,17.98,652.448,5832.89,36.4904,0.432375
1000,352.898,18.08,649.485,5838.87,36.1227,0.432148
1000,355.893,18.18,646.505,5844.4,35.758,0.431917
1000,358.906,18.28,643.506,5849.47,35.3964,0.431681
1000,361.937,18.38,640.49,5854.07,35.0377,0.431441
1000,364.986,18.48,637.455,5858.21,34.682,0.431196
1000,368.053,18.58,634.402,5861.87,34.3291,0.430946
1000,371.758,18.68,631.331,5865.07,33.9791,0.430692
1000,374.242,18.78,628.242,5867.78,33.6318,0.430433
1000,377.363,18.88,625.136,5870.02,33.2873,0.430169
1000,380.502,18.98,622.011,5871.78,32.9455,0.429901
1000,384.292,19.08,618.868,5873.06,32.6063,0.429628
1000,386.834,19.18,615.708,5873.85,32.2698,0.42935
1000,390.027,19.28,612.529,5874.15,31.9358,0.429067
